搛,jiān,kiêm,gắp bằng đũa,,,,,,,
搠,shuò,sóc,bôi/chọc,,,,,,,
摈,bìn,bấn,từ chối/trục xuất/loại bỏ/loại trừ/từ bỏ,,,,,,,
彀,gòu,cấu,"kéo cung hết cỡ/tầm bắn của cung tên/biến thể cũ của 夠|够[gou4], đủ",,,,,,,
毂,gǔ,cốc,bánh xe | trục bánh xe,,,,,,,
搦,nuò,nạch,(văn học) cầm (trong tay)/thách thức/khiêu khích,,,,,,,
搡,sǎng,táng,đẩy mạnh/xô,,,,,,,
蓁,zhēn,trăn,"cây cối tươi tốt, xum xuê",,,,,,,
戡,kān,kham,giết/đàn áp,,,,,,,
蓍,shī,thi,cây cỏ thi (Achillea millefolium),,,,,,,
鄞,yín,ngân,tên một địa khu ở Chiết Giang,,,,,,,
靳,jìn,cận,họ [Jin4] | dây cương/keo kiệt,,,,,,,
蓐,rù,nhục,chiếu/cói,,,,,,,
蓦,mò,mạch,nhảy lên hoặc qua/đột nhiên,,,,,,,
鹋,miáo,miêu,xem 鴯鶓|鸸鹋[er2 miao2],,,,,,,
蒽,ēn,ân,anthracene,,,,,,,
蓓,bèi,bội,(nụ) hoa,,,,,,,
蓖,bì,bế,cây thầu dầu,,,,,,,
蓊,wěng,ống,cây cối um tùm,,,,,,,
蒯,kuǎi,khoái,cỏ năn/scirpus cyperinus,,,,,,,
蓟,jì,kế,họ [Ji4]/thành bang cổ của Trung Quốc gần Bắc Kinh ngày nay | cây cỏ Việt/cây kế,,,,,,,
蓑,suō,thoa,"biến thể của 蓑[suo1] | áo mưa làm bằng rơm, rạ, v.v.",,,,,,,
蒿,hāo,hao,cần tây ngải (Artemisia carvifolia)/tỏa ra/nhổ cỏ,,,,,,,
蒺,jí,tật,Tribulus terrestris,,,,,,,
蓠,lí,li,"tảo đỏ/Gracilaria, một số loài, một số ăn được/ogonori Nhật Bản/xưa dùng cho loại thảo mộc giống vanilla",,,,,,,
蒟,jǔ,củ,trầu,,,,,,,
蒡,bàng,bảng,Arctium lappa/ngưu bàng,,,,,,,
蒹,jiān,kiêm,cây sậy,,,,,,,
蒴,shuò,sóc,quả nang/vỏ quả,,,,,,,
蒗,làng,lạng,(thảo dược)/tên địa danh,,,,,,,
蓥,yíng,oánh,đánh bóng,,,,,,,
颐,yí,di,(văn học) cằm, hàm/(văn học) nuôi dưỡng, bảo vệ,,,,,
楔,xiē,tiết,nêm/đóng vào (biến thể của 揳[xie1]),,,,,,,
楠,nán,nam,biến thể của 楠[nan2] | Machilus nanmu/cây tuyết tùng Trung Quốc/cây secquia đỏ khổng lồ Trung Quốc,,,,,,,
楂,zhā,tra,đốn cây/tạo bè/đục đẽo | sơn tra Trung Quốc,,,,,,,
楝,liàn,luyện,cây xoan,,,,,,,
楫,jí,tiếp,mái chèo (cổ) | biến thể của 楫[ji2],,,,,,,
楸,qiū,thu,cây chiêu liêu (Catalpa)/Mallotus japonicus,,,,,,,
椴,duàn,đoạn,cây đoạn (Tilia chinensis),,,,,,,
槌,chuí,chùy,vồ/chày/dụng cụ đóng hoặc nện,,,,,,,
楯,shǔn,thuẫn,rút ra/lang can ngang,,,,,,,
皙,xī,tích,trắng/biến thể của 晰[xi1],,,,,,,
榈,lǘ,lư,cây cọ,,,,,,,
槎,chá,tra,bè làm bằng tre hoặc gỗ/chặt cây/đốn hạ,,,,,,,
榉,jǔ,cử,cây dẻ gai Zeikowa acuminata,,,,,,,
楦,xuàn,huyên | tuyên,phôi giày (bằng gỗ)/biến thể của 楦[xuan4] | chặn (mũ)/kéo căng (giày),,,,,,,
楣,méi,mi,lanh tô/xà ngang,,,,,,,
楹,yíng,doanh,cột trụ,,,,,,,
椽,chuán,chuyên,xà/rầm/lượng từ cho phòng,,,,,,,
裘,qiú,cừu,họ [Qiu2] | lông thú/áo lông thú,,,,,,,
剽,piāo,phiếu,cướp/nhanh nhẹn/lanh lợi/tiếng Đài Loan đọc là [piao4],,,,,,,
甄,zhēn,chân,họ [Zhen1] | phân biệt/đánh giá,,,,,,,
酮,tóng,đồng,xeton,,,,,,,
酰,xiān,xiān,gốc axit/-acyl (hóa học),,,,,,,
酯,zhǐ,chỉ,este,,,,,,,
酩,mǐng,mính,dùng trong 酩酊[ming3 ding3],,,,,,,
蜃,shèn,thận,con trai khổng lồ/(thần thoại) quái vật trai được cho là thở ra hơi nước tạo thành ảo ảnh các tòa nhà,,,,,,,
碛,qì,thích,băng tích, đá trong vùng nước cạn,,,,,,
碓,duì,đối,chày/giã bằng chày,,,,,,,
硼,péng,bằng,bor (hoá học),,,,,,,
碉,diāo,điêu,hang đá (cổ),,,,,,,
碚,bèi,bội,(dùng trong địa danh),,,,,,,
碇,dìng,đính | đĩnh,biến thể của 碇[ding4] | mỏ neo,,,,,,,
碜,chěn,sẩm,nhám (của thức ăn)/không ưa nhìn,,,,,,,
鹌,ān,am,chim cút,,,,,,,
辏,còu,thấu,hội tụ/trục bánh xe,,,,,,,
龃,jǔ,trở,dùng trong 齟齬|龃龉[ju3 yu3],,,,,,,
龅,bāo,bao,răng hô,,,,,,,
訾,zǐ,tí,họ [Zi1] | tính toán/đánh giá/sự giàu có | phỉ báng/ghét,,,,,,,
粲,càn,sán,đẹp/rạng rỡ/lộng lẫy/cười tươi,,,,,,,
虞,yú,ngu,họ [Yu2] | (văn học) mong đợi, dự đoán/(văn học) lo lắng, e ngại/(văn học) lừa dối, lừa gạt,,,,
睚,yá,nhai,khóe mắt/nhìn chằm chằm,,,,,,,
嗪,qín,qín,"dùng trong phiên âm -xine, -zine hoặc -chin",,,,,,,
韪,wěi,vĩ,đúng/phải,,,,,,,
嗷,áo,ngao,tiếng kêu la lớn/âm thanh than khóc,,,,,,,
嗉,sù,tố,diều của chim,,,,,,,
睨,nì,nghễ,liếc nhìn,,,,,,,
睢,suī,tuy,họ [Sui1] | nhìn chằm chằm,,,,,,,
雎,jū,sư,chim ó/cắt ngư,,,,,,,
睥,pì,bễ,dùng trong 睥睨[pi4 ni4]/cách phát âm ở Đài Loan [bi4],,,,,,,
嘟,dū,đô,kêu tut/tút/chu môi,,,,,,,
嗑,kē|kè,hạp,cắn (hạt) bằng răng,,,,,,,
嗫,niè,chiếp,mấp máy miệng như đang nói,,,,,,,
嗬,hē,hē,(thán từ biểu thị sự ngạc nhiên) ồ!/wow!,,,,,,,
嗔,chēn,sân,tức giận với/không hài lòng và khó chịu,,,,,,,
嗝,gé,cách,nấc/cợ,,,,,,,
戥,děng,đẳng,cân tiểu ly để cân tiền,,,,,,,
嗄,shà,sá,biến thể của 啊[a2] | khàn giọng,,,,,,,
煦,xù,hú,dịu dàng/ấm áp/thỏa mái/phát âm Đài Loan [xu3],,,,,,,
暄,xuān,huyên,ấm áp và hòa nhã,,,,,,,
遢,tā,tháp,hình thức vô nghĩa chỉ dùng trong 邋遢[la1 ta5]/tiếng Đài Loan đọc là [ta4],,,,,,,
暌,kuí,khuê,đối lập với/tách biệt khỏi,,,,,,,
跬,kuǐ,khuể,bước ngắn/ngắn,,,,,,,
跶,da,đáp,vấp/ngã/biến thể của 達|达[da2],,,,,,,
跸,bì,tất,dọn đường khi hoàng đế tuần du,,,,,,,
跐,cī,thử,dẫm/đạp/đi nhón chân,,,,,,,
跣,xiǎn,tiển,chân trần,,,,,,,
跹,xiān,tiên,dáng điệu nhảy/đi xung quanh,,,,,,,
跻,jī,tễ,(văn học) lên, trèo, bước lên,,,,,
蛸,shāo|xiāo,sao,nhện chân dài | dùng trong 螵蛸[piao1xiao1],,,,,,,
蜊,lí,lị,con nghêu,,,,,,,
蜍,chú,thừ,Bufo vulgaris/con cóc,,,,,,,
蜉,fú,phù,(chuồn chuồn)/(kiến lớn)/(ong bắp cày),,,,,,,
蜣,qiāng,khương,bọ hung,,,,,,,
畹,wǎn,uyển,một mảnh ruộng 20 hoặc 30 mẫu,,,,,,,
蛹,yǒng,dũng,nhộng/ấu trùng,,,,,,,
嗣,sì,tự,kế thừa (một danh hiệu)/thừa kế/tiếp nối (một truyền thống)/hậu duệ,,,,,,,
嗯,ńg|ňg|ǹg,ân,"(âm thanh rên rỉ) | (tiếng hừ không lời như thán từ)/OK, ừ/hả? | thán từ biểu thị sự tán thành, đánh giá cao hoặc đồng ý",,,,,,,
嗥,háo,hào,tru (như sói) | biến thể của 嗥[hao2] | biến thể cũ của 嗥[hao2],,,,,,,
嗲,diǎ,diǎ,làm nũng/trẻ con,,,,,,,
嗳,ǎi|ài,ải,ợ/(thán từ không tán thành) | (thán từ tiếc nuối),,,,,,,
嗌,ài|yì,ách,(văn học) nghẹn, bị tắc trong họng/phiên âm Đài Loan [yi4] | (văn học) cổ họng/(văn học) (quân sự) điểm nghẽn,,,,,,
嗍,suō,thoa,hút/phiên âm Đài Loan [shuo4],,,,,,,
嗨,hāi,hải,ồ than ôi/này!/chào! (từ mượn)/phê (do tự nhiên hoặc do thuốc) (từ mượn),,,,,,,
嗐,hài,hại,thán từ biểu thị sự tiếc nuối,,,,,,,
嗤,chī,xuy,cười nhạo/chế giễu/chế nhạo/nhạo báng,,,,,,,
嗵,tōng,tōng,(từ tượng thanh) bình bịch/thùm thụp,,,,,,,
罨,yǎn,yểm,chườm/van,,,,,,,
嵊,shèng,thặng,tên một quận ở Chiết Giang,,,,,,,
嵩,sōng,tung,cao ngất/Núi Song ở Hà Nam,,,,,,,
嵴,jí,jí,sống núi/đỉnh/chóp,,,,,,,
骰,tóu,đầu,xí ngầu,,,,,,,
锗,zhě,giả,germani (hóa học),,,,,,,
锛,bēn,bôn,cái rìu đốn/cái búa đẽo,,,,,,,
锜,qí,kĩ,vạc ba chân (cổ)/đục gỗ (cổ),,,,,,,
锝,dé,đắc,technetium (hoá học),,,,,,,
锞,kè,quả,cái nồi dầu mỡ cho xe/ngân đúc,,,,,,,
锟,kūn,côn,kiếm thép,,,,,,,
锢,gù,cố,bệnh cố chấp/kiềm chế/ngăn chặn,,,,,,,
锨,xiān,hân,cái xẻng,,,,,,,
锩,juǎn,quyển,uốn sắt,,,,,,,
锭,dìng,đĩnh,"thoi dệt/vàng thỏi/bánh thuốc ép, v.v./lượng từ cho: thỏi vàng bạc, thỏi mực",,,,,,,
锱,zī,tri,đơn vị trọng lượng cổ/một phần tám của một lạng,,,,,,,
雉,zhì,trĩ,gà lôi,,,,,,,
氲,yūn,uân,dùng trong 氤氳|氤氲[yin1 yun1],,,,,,,
犏,piān,biên,dùng trong 犏牛[pian1 niu2],,,,,,,
歃,shà,sáp,uống,,,,,,,
稞,kē,khoa,(lúa mì),,,,,,,
稗,bài,bại,cỏ mần trầu (Echinochloa crus-galli)/Panicum crus-galli/(văn học) không đáng kể/tầm thường | gạo xay/phồn thể cũ của 稗[bai4],,,,,,,
稔,rěn,nhẫm,ngũ cốc chín,,,,,,,
筠,jūn|yún,quân,vỏ tre,,,,,,,
筢,pá,ba,cào tre,,,,,,,
筮,shì,thệ,bói bằng cỏ thi,,,,,,,
筲,shāo,sao,bàn chải nồi làm từ dải tre/giỏ đựng đũa/biến thể của 筲[shao1] | giỏ/xô,,,,,,,
筱,xiǎo,tiểu,tre trúc lùn/tre mỏng,,,,,,,
牒,dié,điệp,tài liệu (chính thức)/công văn,,,,,,,
敫,jiǎo,kiểu,họ [Jiao3] | sáng/rực rỡ/tiếng Đài Loan phát âm là [jiao4],,,,,,,
徭,yáo,dao,lao dịch bắt buộc,,,,,,,
愆,qiān,khiên,lỗi/lầm | biến thể cũ của 愆[qian1],,,,,,,
艄,shāo,sao,đuôi thuyền,,,,,,,
觎,yú,du,khao khát mãnh liệt,,,,,,,
毹,shū,du,tấm thảm,,,,,,,
貊,mò,mạch,tên của một bộ tộc hoang dã/im lặng,,,,,,,
貅,xiū,hưu,"xem 貔貅[pi2 xiu1], con vật thần thoại tổng hợp (gốc là 貅 chỉ con cái)",,,,,,,
貉,háo|hé,hạc,"chó gấu trúc (Nyctereutes procyonoides)/chó gấu trúc Bắc Trung Quốc, Hàn Quốc và Nhật Bản (tiếng Nhật: tanuki)/cũng đọc là [hao2] | thuật ngữ cũ chỉ các dân tộc phía bắc/im lặng",,,,,,,
颔,hàn,hạm,cằm/gật đầu (đồng ý),,,,,,,
腠,còu,thấu,mô giữa da và thịt,,,,,,,
腩,nǎn,nạm,thịt ức/bụng bò/thịt mềm từ dưới bụng bò và xương sườn lân cận/xem 牛腩[niu2 nan3] đặc biệt trong ẩm thực Quảng Đông/dịch sai thành thăn bò,,,,,,,
腼,miǎn,điến,e thẹn,,,,,,,
腭,è,ngạc,vòm miệng/nóc miệng,,,,,,,
腧,shù,thú,huyệt châm cứu/huyệt vị,,,,,,,
塍,chéng,thăng,biến thể của 塍[cheng2] | đường nâng giữa các thửa ruộng,,,,,,,
媵,yìng,dắng,người hầu đưa cô dâu về nhà chồng/thê thiếp,,,,,,,
詹,zhān,chiêm,"họ [Zhan1] | (văn học) dài dòng/(văn học) đến, đạt tới",,,,,,,
鲅,bà,bát,(dạng kết hợp) cá thu Tây Ban Nha,,,,,,,
鲆,píng,bình,họ cá bơn/cá bơn,,,,,,,
鲇,nián,niêm,cá trê (Parasilurus asotus)/cá trê phương Đông/xem thêm 鯰|鲶[nian2],,,,,,,
鲈,lú,lư,cá rô phi/cá vược,,,,,,,
稣,sū,tô,biến thể cổ của 蘇|苏[su1]/hồi sinh,,,,,,,
鲋,fù,phụ,cá mè,,,,,,,
鲐,tái,thai,cá thu/cá thu Nhật (Pneumatophorus japonicus),,,,,,,
肄,yì,dị,học/tập luyện hoặc nghiên cứu (cũ),,,,,,,
鹐,qiān,qiān,(của chim) mổ/(bóng) chế nhạo (ai đó),,,,,,,
飕,sōu,sưu,thổi (như gió)/tiếng gió/rì rào,,,,,,,
觥,gōng,quang,to/ly lớn làm từ sừng/đồ đựng rượu bằng sừng,,,,,,,
馐,xiū,tu,cao lương mỹ vị,,,,,,,
鹑,chún,thuần,chim cút,,,,,,,
亶,dǎn,đản,họ [Dan3] | chân thành,,,,,,,
瘃,zhú,chúc,cước chinh,,,,,,,
痱,fèi,phi,biến thể của 痱[fei4] | rôm sảy,,,,,,,
痼,gù,cố,"bệnh cố hữu/(về đam mê, sở thích) dài hạn",,,,,,,
痿,wěi,nuy,teo cơ,,,,,,,
瘐,yǔ,dũ,ngược đãi (như tù nhân),,,,,,,
瘁,cuì,tụy,mệt mỏi/phiền muộn/mệt/mệt nhọc/ốm yếu/kiệt sức,,,,,,,
瘆,shèn,shèn,làm kinh hãi,,,,,,,
麂,jǐ,kỉ,nai hoẵng,,,,,,,
歆,xīn,hâm,vui lòng/cảm động,,,,,,,
旒,liú,lưu,dải tua,,,,,,,
雍,yōng,ung,họ [Yong1] | hòa hợp | biến thể cũ của 雍[yong1],,,,,,,
阖,hé,hạp,cửa/đóng/toàn bộ,,,,,,,
阗,tián,điền,lấp đầy/âm thanh ầm ầm,,,,,,,
阙,quē|què,khuyết,họ [Que1] | dùng thay cho 缺 (cũ)/lỗi | lầu canh thành hoàng đế (cũ)/sai sót/sự thiếu hụt,,,,,,,
羧,suō,suō,gốc cacboxyl (hóa học),,,,,,,
豢,huàn,hoạn,nuôi/dưỡng (động vật),,,,,,,
粳,jīng,canh,biến thể của 粳[jing1] | gạo không dính hạt tròn (gạo Japonica)/Đài Loan phát âm [geng1],,,,,,,
猷,yóu,du,lên kế hoạch/mưu tính,,,,,,,
煳,hú,hồ,bị cháy/cháy khét,,,,,,,
煜,yù,dục,rực rỡ/huy hoàng,,,,,,,
煨,wēi,ổi,hầm/nướng trong tro,,,,,,,
煅,duàn,đoán,biến thể của 鍛|锻[duan4],,,,,,,
煊,xuān,huyên,biến thể của 暄[xuan1],,,,,,,
煸,biān,biên,xào trước khi nướng hoặc hầm,,,,,,,
煺,tuì,thoái,nhổ lông gia cầm hoặc lông heo bằng nước nóng,,,,,,,
滟,yàn,liễm,sóng cồn cuồn cuộn,,,,,,,
溱,qín,trăn,tên một con sông,,,,,,,
溘,kè,khạp,đột nhiên,,,,,,,
漭,mǎng,mãng,rộng lớn/mênh mông (nước),,,,,,,
滢,yíng,huỳnh,trong/sáng (nói về nước),,,,,,,
溥,pǔ,phổ,họ [Pu3] | rộng rãi/lan tỏa,,,,,,,
溧,lì,lật,tên một con sông,,,,,,,
溽,rù,nhục,ẩm ướt/ngột ngạt,,,,,,,
裟,shā,sa,dùng trong 袈裟[jia1 sha1],,,,,,,
溻,tā,thạp,(quần áo) ướt đẫm mồ hôi,,,,,,,
溷,hùn,hỗn,nhà xí/chuồng súc vật/bùn lầy/hỗn loạn/quấy rầy,,,,,,,
滗,bì,tiết,rót chất lỏng ra, gạn, lọc,,,,,
滫,xiǔ,tưu,(văn học) nước vo gạo bị ôi thiu, nước bẩn,,,,,,
溴,xiù,xú,bromine (hóa học),,,,,,,
滏,fǔ,phũ,tên một con sông ở Hà Bắc,,,,,,,
滃,wēng,ổng,(của mây) dâng lên/(của nước) dâng lên,,,,,,,
滦,luán,loan,sông và huyện ở tỉnh Hà Bắc,,,,,,,
溏,táng,đường,nửa đông đặc/ao,,,,,,,
滂,pāng,bàng,nước chảy xiết,,,,,,,
滓,zǐ,chỉ,cặn, trầm tích,,,,,,
溟,míng,minh,mưa phùn/biển,,,,,,,
滪,yù,dự,(tên địa danh ở Tứ Xuyên),,,,,,,
愫,sù,tố,chân thành/thành khẩn,,,,,,,
慊,qiàn|qiè,khiểm,không hài lòng | hài lòng,,,,,,,
鲎,hòu,hấu,cua móng ngựa,,,,,,,
骞,qiān,khiên,"nâng lên, vươn lên",,,,,,,
窦,dòu,đậu,họ [Dou4] | lỗ, khe hở/(giải phẫu) khoang, xoang,,,,,
窠,kē,khòa,tổ,,,,,,,
窣,sū,tốt,dùng trong 窸窣[xi1 su1]/tiếng Đài Loan đọc là [su4],,,,,,,
裱,biǎo,phiếu,treo (giấy)/làm khung (tranh),,,,,,,
褚,chǔ,trử,họ [Chu3] | lót (trong trang phục)/tích trữ/túi/phát âm Đài Loan [chu3],,,,,,,
裨,bì,bì,họ [Pi2] | có lợi/hỗ trợ/thuận lợi | cấp dưới/phụ/thứ nhỏ,,,,,,,
裾,jū,cư,trang phục,,,,,,,
裰,duō,chuyết,vá quần áo,,,,,,,
禊,xì,hễ,nghi lễ thanh tẩy bán niên,,,,,,,
谩,màn,mạn,lừa dối | phỉ báng/không tôn trọng/coi thường,,,,,,,
谪,zhé,trích,giáng chức quan cao xuống vị trí nhỏ ở vùng xa (hình phạt thời Trung Quốc phong kiến)/đày hoặc lưu đày/(đối với thần tiên) đày khỏi thiên đình/phê bình/khiển trách | biến thể của 謫|谪[zhe2],,,,,,,
媾,gòu,cấu,kết hôn/giao phối,,,,,,,
嫫,mó,mô,người phụ nữ xấu xí,,,,,,,
嫒,ài,ái,con gái của bạn (kính ngữ),,,,,,,
嫔,pín,tần,phi tần,,,,,,,
媸,chī,xuy,người phụ nữ xấu xí,,,,,,,
缙,jìn,tấn,lụa đỏ,,,,,,,
缜,zhěn,chẩn,mịn và dày,,,,,,,
缛,rù,nhục,trang trí/đẹp,,,,,,,
辔,pèi,bí,dây cương, dây cầm,,,,,,
骝,liú,lưu,"ngựa màu nâu đỏ, bờm đen",,,,,,,
缟,gǎo,cảo,lụa trắng trơn,,,,,,,
缡,lí,li,khăn voan cưới hoặc khăn trùm đầu,,,,,,,
缢,yì,ải,(văn học) chết do treo cổ hoặc bóp cổ,,,,,,,
缣,jiān,kiêm,lụa dày chống thấm nước,,,,,,,
骟,shàn,phiến,thiến,,,,,,,
耥,tāng,thảng,cái bừa,,,,,,,
璈,áo,ngao,(nhạc cụ),,,,,,,
瑶,yáo,dao,dân tộc Dao ở tây nam Trung Quốc và Đông Nam Á/họ [Yao2] | ngọc/đá quý/xà cừ/trân châu/quý giá/dùng như kính ngữ bổ trợ,,,,,,,
瑭,táng,đường,(ngọc),,,,,,,
獒,áo,ngao,(hình thức kết hợp) chó ngao,,,,,,,
觏,gòu,cấu,hoàn thành/gặp bất ngờ/nhìn thấy,,,,,,,
慝,tè,thắc,ý nghĩ xấu,,,,,,,
嫠,lí,ly,quả phụ,,,,,,,
韬,tāo,thao,bao đựng cung hoặc vỏ kiếm/che giấu/chiến lược quân sự,,,,,,,
叆,ài,ái,trời mù mịt/bầu trời nhiều mây/tối tăm/mơ hồ,,,,,,,
摽,biào,phiếu,(văn học) xua đi, vứt bỏ | buộc chặt/khoác tay/đi chung với, bám sát (ai đó)/cạnh tranh/(văn học) đánh, đập,,,,
墁,màn,mạn,trát vữa,,,,,,,
撂,liào,lược,đặt xuống/để lại/ném hoặc đánh ngã/bỏ rơi hoặc vứt bỏ,,,,,,,
摞,luò,loa,chất đống/xếp chồng/một đống/một chồng,,,,,,,
撄,yīng,anh,phản đối/tấn công,,,,,,,
翥,zhù,chứ,bay vút,,,,,,,
踅,xué,thệ,đi với một chân | đi quanh/quay lại giữa chừng,,,,,,,
摭,zhí,trích,nhặt lên/lựa chọn,,,,,,,
墉,yōng,dong,tường thành/tường bao,,,,,,,
墒,shāng,shāng,đất đã cày/độ ẩm của đất/rãnh cày,,,,,,,
榖,gǔ,cốc,cây dướng,,,,,,,
綦,qí,kì,màu xám đậm/bậc nhất/nhiều màu sắc,,,,,,,
蔫,niān,yên,héo/tàn úa/ủ rũ/thiếu sức sống,,,,,,,
蔷,qiáng,sắc,dùng trong 薔薇|蔷薇[qiang2 wei1],,,,,,,
靺,mò,mạt,tên một bộ tộc/tất/vớ,,,,,,,
靼,dá,đát,(phiên âm)/da thuộc,,,,,,,
鞅,yāng|yàng,ưởng,dây ngựa (một phần của bộ đóng ngựa)/dùng trong 鞅鞅[yang1 yang1] | ách gỗ cho bò kéo,,,,,,,
靿,yào,áo,ống của ủng hoặc tất,,,,,,,
甍,méng,manh,xà mái đỡ ngói/sống nóc nhà,,,,,,,
蔸,dōu,dōu,rễ và thân dưới của một số loại cây/lượng từ cho mảnh và cụm,,,,,,,
蔟,cù,thốc,tập hợp/giá cho tằm/tổ,,,,,,,
蔺,lìn,lận,họ [Lin4] | cây bồ,,,,,,,
戬,jiǎn,tiển,làm đến mức tối đa/cắt,,,,,,,
蕖,qú,cừ,hoa sen,,,,,,,
蔻,kòu,khấu,dùng trong 豆蔻[dou4 kou4],,,,,,,
蓿,xu,túc,cỏ ba lá/cây linh lăng/tiếng Đài Loan đọc là [su4],,,,,,,
斡,wò,oát,quay,,,,,,,
鹕,hú,hồ,dùng trong 鵜鶘|鹈鹕[ti2 hu2],,,,,,,
蓼,liǎo,liệu,cây rau răm/cỏ thủy phách | mọc um tùm,,,,,,,
榛,zhēn,trăn,(dạng kết hợp) cây phỉ (Corylus heterophylla),,,,,,,
榧,fěi,phỉ,cây thông đỏ Torreya nucifera,,,,,,,
榻,tà,tháp,cái giường hẹp mà dài,,,,,,,
榫,sǔn,chuẩn,(thủ công mộc) mộng,,,,,,,
榭,xiè,tạ,đình,,,,,,,
槔,gāo,cao,ròng rọc nước,,,,,,,
榱,cuī,suy,xà nhà (cổ điển),,,,,,,
槁,gǎo,cảo,biến thể của 槁[gao3]/khô héo | (gỗ) khô héo/cây chết,,,,,,,
槟,bīn|bīng,tân,cây cau (Areca catechu)/hạt cau/tiếng Đài Loan đọc là [bin1],,,,,,,
槠,zhū,chư,cây sồi Quercus glanca,,,,,,,
榷,què,các,"cầu nhỏ/thuế, phí/độc quyền",,,,,,,
僰,bó,bặc,tên một dân tộc,,,,,,,
酽,yàn,nghiệm,đậm (trà),,,,,,,
酶,méi,môi,enzym/chất lên men,,,,,,,
酹,lèi,lỗi,rót rượu cúng/rưới,,,,,,,
厮,sī,tư,biến thể của 廝|厮[si1] | (dạng kết hợp) cùng nhau, lẫn nhau/(dạng kết hợp) đầy tớ nam/(dạng kết hợp) gã, người nào đó (dùng trong 那廝|那厮[na4 si1] và 這廝|这厮[zhe4 si1]),,,,,
碡,zhóu,độc,"trục lăn bằng đá (để đập lúa, san bằng mặt đất, v.v.)/cách phát âm ở Đài Loan: [du2]",,,,,,,
碴,chā|chá,tra,lỗi/mảnh kính/cãi nhau,,,,,,,
碣,jié,kiệt,bia đá,,,,,,,
碲,dì,đế,nguyên tố teluri (hoá học),,,,,,,
臧,zāng,tang,họ [Zang1] | tốt/đúng | biến thể cũ của 藏[zang4]/biến thể cũ của 臟|脏[zang4],,,,,,,
豨,xī,hi,lợn,,,,,,,
殡,bìn,tấn,đám tang/khâm liệm thi thể/đưa đi an táng,,,,,,,
霆,tíng,đình,tiếng sấm,,,,,,,
霁,jì,tễ,trời quang đãng,,,,,,,
辕,yuán,viên,cán xe/nghê môn,,,,,,,
蜚,fēi|fěi,phỉ,con mòng,,,,,,,
裴,péi,bùi,họ [Pei2] | (của một trang phục) dài và thướt tha | biến thể của 裴[pei2],,,,,,,
翡,fěi,phỉ,ngọc bích/xanh, chim trả,,,,,,
龇,zī,thử,răng hô/nhăn răng,,,,,,,
龈,yín,ngân,biến thể của 啃[ken3] | nướu (răng),,,,,,,
睿,ruì,duệ,biến thể của 睿[rui4] | nhạy bén/sáng suốt/nhìn xa trông rộng,,,,,,,
䁖,lōu,lâu,liếc nhìn,,,,,,,
睽,kuí,khuê,chia cách/nhìn chằm chằm,,,,,,,
嘞,lei,lặc,"tiểu từ cuối câu, giống 了[le5], nhưng mang sắc thái tán thành",,,,,,,
嘈,cáo,tào,náo nhiệt/huyên náo/ồn ào,,,,,,,
嘌,piào,phiêu,(văn học) nhanh/tốc độ/dùng trong 嘌呤[piao4 ling4]/cách phát âm Đài Loan: [piao1],,,,,,,
嘁,qī,thích,âm thanh thì thầm,,,,,,,
嘎,gā|gá|gǎ,ca | dát,âm thanh kêu cục tác | biến thể cũ của 嘎[ga2],,,,,,,
暧,ài,ái,(ánh sáng ban ngày) mờ tối/không rõ ràng/bí mật/đáng ngờ,,,,,,,
暝,míng,minh,tối,,,,,,,
踌,chóu,trù,đi tới lui/do dự/dao động,,,,,,,
踉,liàng,lương,nhảy | loạng choạng/lảo đảo,,,,,,,
蜞,qí,kì,cua bò,,,,,,,
蜥,xī,tích,xem 蜥蜴[xi1 yi4],,,,,,,
蜮,yù,vực,sinh vật huyền thoại/ếch nhái/sâu,,,,,,,
蝈,guō,quắc,"ve sầu xanh nhỏ hoặc ếch (nghĩa không rõ, có thể tượng thanh)/xem 蟈蟈|蝈蝈 châu chấu rau dài",,,,,,,
蜴,yì,dịch,xem 蜥蜴[xi1 yi4],,,,,,,
蜱,pí,tỳ,bọ ve (động vật học),,,,,,,
蜩,tiáo,điêu,ve sầu,,,,,,,
蜷,quán,quyền,cuộn lại (như cuộn giấy)/co ro/Melania libertina/quằn quại (như sâu),,,,,,,
蜿,wān,uyển,dùng trong 蜿蜒[wan1 yan2],,,,,,,
螂,láng,lang,biến thể của 螂[lang2] | chuồn chuồn/bọ ngựa,,,,,,,
蜢,měng,mãnh,châu chấu,,,,,,,
嘘,shī|xū,hư,thở ra chậm/rít/suỵt!,,,,,,,
嘡,tāng,thang,(từ tượng thanh) choang/vang/đoàng,,,,,,,
鹗,è,ngạc,(loài chim ở Trung Quốc) chim ưng biển phương tây (Pandion haliaetus),,,,,,,
嘣,bēng,băng,(tượng thanh) thụp/bùm/đoàng,,,,,,,
嘤,yīng,anh,tiếng chim kêu,,,,,,,
嘚,dē|dēi,dē|dēi,(từ tượng thanh) dùng cho âm thanh móng ngựa,,,,,,,
嗾,sǒu,thốc,xúi giục/kích động,,,,,,,
嘧,mì,mật,(phiên âm) như trong pyrimidine,,,,,,,
罴,pí,bi,gấu nâu,,,,,,,
罱,lǎn,lãm,"một loại công cụ dùng để vớt cá, thực vật dưới nước hoặc bùn sông, gồm một cái lưới gắn vào cặp sào tre, được dùng để mở và đóng lưới/tát hoặc vớt bằng công cụ này",,,,,,,
